date,vendor_raw,vendor_norm,amount,currency,account,account_name,confidence,source,reason,status,learned,coa_valid,cost_usd,memo
2024-08-01,Quarrydale Industrial & Co,QUARRYDALE INDUSTRIAL & CO,10935.27,GBP,6000,Professional fees,1.000,memory,learned from a human correction,auto,yes,yes,0.000000,Quarrydale Industrial & Co — invoice QUA-2024-3720
2024-08-01,Eastgate Partners Ltd,EASTGATE PARTNERS,200.77,GBP,6300,Utilities,1.000,memory,learned from a human correction,auto,yes,yes,0.000000,Eastgate Partners Ltd — invoice EAS-2024-1390
2024-08-01,Greylock Industrial & Co,GREYLOCK INDUSTRIAL & CO,2323.83,GBP,5000,Cost of sales,1.000,memory,learned from a human correction,auto,yes,yes,0.000000,Greylock Industrial & Co — invoice GRE-2024-2953
2024-08-02,Eastgate Partners Ltd,EASTGATE PARTNERS,335.07,GBP,6300,Utilities,1.000,memory,learned from a human correction,auto,yes,yes,0.000000,Eastgate Partners Ltd — invoice EAS-2024-1395
2024-08-03,Quarrydale Industrial & Co,QUARRYDALE INDUSTRIAL & CO,16023.93,GBP,6000,Professional fees,1.000,memory,learned from a human correction,auto,yes,yes,0.000000,Quarrydale Industrial & Co — invoice QUA-2024-3722
2024-08-04,Greylock Industrial & Co,GREYLOCK INDUSTRIAL & CO,3683.38,GBP,5000,Cost of sales,1.000,memory,learned from a human correction,auto,yes,yes,0.000000,Greylock Industrial & Co — invoice GRE-2024-2950
2024-08-05,Jarrow Consulting Ltd,JARROW CONSULTING,2434.01,GBP,5000,Cost of sales,1.000,memory,learned from a human correction,auto,yes,yes,0.000000,Jarrow Consulting Ltd — invoice JAR-2024-7400
2024-08-07,Quarrydale Industrial & Co,QUARRYDALE INDUSTRIAL & CO,666.11,GBP,6000,Professional fees,1.000,memory,learned from a human correction,auto,yes,yes,0.000000,Quarrydale Industrial & Co — invoice QUA-2024-3725
2024-08-08,Northgate Consulting & Co,NORTHGATE CONSULTING & CO,2399.90,GBP,6300,Utilities,1.000,memory,learned from a human correction,auto,yes,yes,0.000000,Northgate Consulting & Co — invoice NOR-2024-6197
2024-08-08,Langdale Systems Limited,LANGDALE SYSTEMS,560.68,GBP,6000,Professional fees,1.000,memory,learned from a human correction,auto,yes,yes,0.000000,Langdale Systems Limited — invoice LAN-2024-1299
2024-08-09,Copperfield Partners & Co,COPPERFIELD PARTNERS & CO,474.23,GBP,6200,Rent,1.000,memory,learned from a human correction,auto,yes,yes,0.000000,Copperfield Partners & Co — invoice COP-2024-1859
2024-08-09,Greylock Industrial & Co,GREYLOCK INDUSTRIAL & CO,844.21,GBP,5000,Cost of sales,1.000,memory,learned from a human correction,auto,yes,yes,0.000000,Greylock Industrial & Co — invoice GRE-2024-2951
2024-08-10,Eastgate Partners Ltd,EASTGATE PARTNERS,1892.19,GBP,6300,Utilities,1.000,memory,learned from a human correction,auto,yes,yes,0.000000,Eastgate Partners Ltd — invoice EAS-2024-1391
2024-08-11,Eastgate Partners Ltd,EASTGATE PARTNERS,211.23,GBP,6300,Utilities,1.000,memory,learned from a human correction,auto,yes,yes,0.000000,Eastgate Partners Ltd — invoice EAS-2024-1392
2024-08-11,Redmayne Supplies Ltd,REDMAYNE SUPPLIES,181.04,GBP,6000,Professional fees,1.000,memory,learned from a human correction,auto,yes,yes,0.000000,Redmayne Supplies Ltd — invoice RED-2024-7771
2024-08-12,Quarrydale Industrial & Co,QUARRYDALE INDUSTRIAL & CO,9553.97,GBP,6000,Professional fees,1.000,memory,learned from a human correction,auto,yes,yes,0.000000,Quarrydale Industrial & Co — invoice QUA-2024-3721
2024-08-15,Jarrow Consulting Ltd,JARROW CONSULTING,312.57,GBP,5000,Cost of sales,1.000,memory,learned from a human correction,auto,yes,yes,0.000000,Jarrow Consulting Ltd — invoice JAR-2024-7399
2024-08-15,Langdale Systems Limited,LANGDALE SYSTEMS,208.47,GBP,6000,Professional fees,1.000,memory,learned from a human correction,auto,yes,yes,0.000000,Langdale Systems Limited — invoice LAN-2024-1298
2024-08-16,Copperfield Partners & Co,COPPERFIELD PARTNERS & CO,462.25,GBP,6200,Rent,1.000,memory,learned from a human correction,auto,yes,yes,0.000000,Copperfield Partners & Co — invoice COP-2024-1862
2024-08-16,Langdale Systems Limited,LANGDALE SYSTEMS,708.40,GBP,6000,Professional fees,1.000,memory,learned from a human correction,auto,yes,yes,0.000000,Langdale Systems Limited — invoice LAN-2024-1300
2024-08-17,Hollowway Systems PLC,HOLLOWWAY SYSTEMS,2603.95,GBP,6100,Software subscriptions,1.000,memory,learned from a human correction,auto,yes,yes,0.000000,Hollowway Systems PLC — invoice HOL-2024-4448
2024-08-17,Hollowway Systems PLC,HOLLOWWAY SYSTEMS,564.24,GBP,6100,Software subscriptions,1.000,memory,learned from a human correction,auto,yes,yes,0.000000,Hollowway Systems PLC — invoice HOL-2024-4449
2024-08-18,Quarrydale Industrial & Co,QUARRYDALE INDUSTRIAL & CO,21559.60,GBP,6000,Professional fees,1.000,memory,learned from a human correction,auto,yes,yes,0.000000,Quarrydale Industrial & Co — invoice QUA-2024-3724
2024-08-19,Greylock Industrial & Co,GREYLOCK INDUSTRIAL & CO,1268.96,GBP,5000,Cost of sales,1.000,memory,learned from a human correction,auto,yes,yes,0.000000,Greylock Industrial & Co — invoice GRE-2024-2949
2024-08-19,Acme Systems & Co,ACME SYSTEMS & CO,845.46,GBP,5000,Cost of sales,1.000,memory,learned from a human correction,auto,yes,yes,0.000000,Acme Systems & Co — invoice ACM-2024-1265
2024-08-21,Jarrow Consulting Ltd,JARROW CONSULTING,283.07,GBP,5000,Cost of sales,1.000,memory,learned from a human correction,auto,yes,yes,0.000000,Jarrow Consulting Ltd — invoice JAR-2024-7398
2024-08-23,Copperfield Partners & Co,COPPERFIELD PARTNERS & CO,899.05,GBP,6200,Rent,1.000,memory,learned from a human correction,auto,yes,yes,0.000000,Copperfield Partners & Co — invoice COP-2024-1861
2024-08-23,Langdale Systems Limited,LANGDALE SYSTEMS,419.48,GBP,6000,Professional fees,1.000,memory,learned from a human correction,auto,yes,yes,0.000000,Langdale Systems Limited — invoice LAN-2024-1297
2024-08-24,Eastgate Partners Ltd,EASTGATE PARTNERS,654.62,GBP,6300,Utilities,1.000,memory,learned from a human correction,auto,yes,yes,0.000000,Eastgate Partners Ltd — invoice EAS-2024-1393
2024-08-25,Northgate Consulting & Co,NORTHGATE CONSULTING & CO,164.30,GBP,6300,Utilities,1.000,memory,learned from a human correction,auto,yes,yes,0.000000,Northgate Consulting & Co — invoice NOR-2024-6195
2024-08-25,Greylock Industrial & Co,GREYLOCK INDUSTRIAL & CO,188.46,GBP,5000,Cost of sales,1.000,memory,learned from a human correction,auto,yes,yes,0.000000,Greylock Industrial & Co — invoice GRE-2024-2952
2024-08-25,Fairhaven Consulting PLC,FAIRHAVEN CONSULTING,3263.09,GBP,5000,Cost of sales,1.000,memory,learned from a human correction,auto,yes,yes,0.000000,Fairhaven Consulting PLC — invoice FAI-2024-7889
2024-08-26,Northgate Consulting & Co,NORTHGATE CONSULTING & CO,777.29,GBP,6300,Utilities,1.000,memory,learned from a human correction,auto,yes,yes,0.000000,Northgate Consulting & Co — invoice NOR-2024-6198
2024-08-28,Eastgate Partners Ltd,EASTGATE PARTNERS,4375.03,GBP,6300,Utilities,1.000,memory,learned from a human correction,auto,yes,yes,0.000000,Eastgate Partners Ltd — invoice EAS-2024-1394
2024-08-28,Fairhaven Consulting PLC,FAIRHAVEN CONSULTING,1346.01,GBP,5000,Cost of sales,1.000,memory,learned from a human correction,auto,yes,yes,0.000000,Fairhaven Consulting PLC — invoice FAI-2024-7888
2024-08-29,Dunmore Systems Ltd,DUNMORE SYSTEMS,292.02,GBP,6100,Software subscriptions,1.000,memory,learned from a human correction,auto,yes,yes,0.000000,Dunmore Systems Ltd — invoice DUN-2024-1849
2024-08-29,Dunmore Systems Ltd,DUNMORE SYSTEMS,1250.09,GBP,6100,Software subscriptions,1.000,memory,learned from a human correction,auto,yes,yes,0.000000,Dunmore Systems Ltd — invoice DUN-2024-1850
2024-08-30,Copperfield Partners & Co,COPPERFIELD PARTNERS & CO,222.88,GBP,6200,Rent,1.000,memory,learned from a human correction,auto,yes,yes,0.000000,Copperfield Partners & Co — invoice COP-2024-1860
2024-08-30,Northgate Consulting & Co,NORTHGATE CONSULTING & CO,844.89,GBP,6300,Utilities,1.000,memory,learned from a human correction,auto,yes,yes,0.000000,Northgate Consulting & Co — invoice NOR-2024-6196
2024-08-31,Quarrydale Industrial & Co,QUARRYDALE INDUSTRIAL & CO,7419.14,GBP,6000,Professional fees,1.000,memory,learned from a human correction,auto,yes,yes,0.000000,Quarrydale Industrial & Co — invoice QUA-2024-3723
